Time [s],Channel 0,Channel 1,Channel 2,Channel 3
6.649456833,1,0,0,0
6.649947917,0,0,0,0
6.650586667,1,0,0,0
6.651072083,0,0,0,0
6.651705833,1,0,0,0
6.652196833,0,0,0,0
6.652835750,1,0,0,0
6.654444583,0,0,0,0
6.655084667,1,0,0,0
6.655568750,0,0,0,0
6.656203833,1,0,0,0
6.657816417,0,0,0,0
6.658452750,1,0,0,0
6.660064083,0,0,0,0
6.660701750,1,0,0,0
6.662311750,0,0,0,0
6.662950667,1,0,0,0
6.664559417,0,0,0,0
6.665199667,1,0,0,0
6.666807083,0,0,0,0
6.667448750,1,0,0,0
6.669055417,0,0,0,0
6.669697583,1,0,0,0
6.709461667,0,0,0,0
6.718501417,1,0,0,0
6.720687000,0,0,0,0
6.721326250,1,0,0,0
6.817173833,0,0,0,0
6.826180000,1,0,0,0
6.828399083,0,0,0,0
6.829004833,1,0,0,0
6.924885917,0,0,0,0
6.933899417,1,0,0,0
6.936110833,0,0,0,0
6.936724167,1,0,0,0
6.994592417,0,0,0,0
6.994880833,1,0,0,0
7.001471833,0,0,0,0
7.001682083,1,0,0,0
7.001808750,0,0,0,0
7.002453417,1,0,0,0
7.184902667,0,0,0,0
7.185279250,1,0,0,0
7.186795583,0,0,0,0
7.187006750,1,0,0,0
7.282624417,0,0,0,0
7.282951167,1,0,0,0
7.380237167,0,0,0,0
7.380610583,1,0,0,0
8.017712833,0,0,0,0
8.026725500,1,0,0,0
8.031180750,0,0,0,0
8.031788333,1,0,0,0
8.032304667,0,0,0,0
8.032939833,1,0,0,0
8.033428917,0,0,0,0
8.034037167,1,0,0,0
8.034553083,0,0,0,0
8.035156333,1,0,0,0
8.035677250,0,0,0,0
8.036318917,1,0,0,0
8.036801417,0,0,0,0
8.037438000,1,0,0,0
8.037925500,0,0,0,0
8.038567917,1,0,0,0
8.040173250,0,0,0,0
8.040806167,1,0,0,0
8.041298083,0,0,0,0
8.041936083,1,0,0,0
8.043545667,0,0,0,0
8.044185000,1,0,0,0
8.045793417,0,0,0,0
8.046433917,1,0,0,0
8.048041083,0,0,0,0
8.048682833,1,0,0,0
8.050288750,0,0,0,0
8.050931667,1,0,0,0
8.052536417,0,0,0,0
8.053169667,1,0,0,0
8.054784083,0,0,0,0
8.055418833,1,0,0,0
8.055908250,0,0,0,0
8.056548750,1,0,0,0
8.058156250,0,0,0,0
8.058797667,1,0,0,0
8.060403917,0,0,0,0
8.061046500,1,0,0,0
8.062651583,0,0,0,0
8.063284667,1,0,0,0
8.063775750,0,0,0,0
8.064414500,1,0,0,0
8.064899917,0,0,0,0
8.065533500,1,0,0,0
8.066024083,0,0,0,0
8.066630833,1,0,0,0
8.067148250,0,0,0,0
8.067760667,1,0,0,0
8.068272417,0,0,0,0
8.068912333,1,0,0,0
8.069397250,0,0,0,0
8.070009667,1,0,0,0
8.070521417,0,0,0,0
8.071161333,1,0,0,0
8.071645583,0,0,0,0
8.072258583,1,0,0,0
8.073893250,0,0,0,0
8.074496667,1,0,0,0
8.076140917,0,0,0,0
8.076778083,1,0,0,0
8.078388583,0,0,0,0
8.079027167,1,0,0,0
8.080636250,0,0,0,0
8.081276167,1,0,0,0
8.082883917,0,0,0,0
8.083524917,1,0,0,0
8.085132250,0,0,0,0
8.085741333,1,0,0,0
8.125538417,0,0,0,0
8.134543250,1,0,0,0
8.136763500,0,0,0,0
8.137368083,1,0,0,0
8.233250583,0,0,0,0
8.242262250,1,0,0,0
8.244475417,0,0,0,0
8.245087167,1,0,0,0
9.295866000,0,0,0,0
9.304870833,1,0,0,0
9.309334000,0,0,0,0
9.309944333,1,0,0,0
9.310457917,0,0,0,0
9.311063333,1,0,0,0
9.311582083,0,0,0,0
9.312193333,1,0,0,0
9.312706250,0,0,0,0
9.313312417,1,0,0,0
9.313830417,0,0,0,0
9.314442250,1,0,0,0
9.314954583,0,0,0,0
9.315561333,1,0,0,0
9.316078750,0,0,0,0
9.316691250,1,0,0,0
9.318326417,0,0,0,0
9.318929500,1,0,0,0
9.319451250,0,0,0,0
9.320059333,1,0,0,0
9.321698917,0,0,0,0
9.322308333,1,0,0,0
9.323946583,0,0,0,0
9.324557250,1,0,0,0
9.326194250,0,0,0,0
9.326806167,1,0,0,0
9.328441917,0,0,0,0
9.329055000,1,0,0,0
9.330689583,0,0,0,0
9.331293250,1,0,0,0
9.332937250,0,0,0,0
9.333542250,1,0,0,0
9.334061417,0,0,0,0
9.334672167,1,0,0,0
9.336309417,0,0,0,0
9.336921083,1,0,0,0
9.337433583,0,0,0,0
9.338040167,1,0,0,0
9.338557833,0,0,0,0
9.339170083,1,0,0,0
9.340805417,0,0,0,0
9.341408167,1,0,0,0
9.341929583,0,0,0,0
9.342538167,1,0,0,0
9.343053750,0,0,0,0
9.343657333,1,0,0,0
9.344177917,0,0,0,0
9.344787333,1,0,0,0
9.345302083,0,0,0,0
9.345906333,1,0,0,0
9.346426917,0,0,0,0
9.347036333,1,0,0,0
9.348674583,0,0,0,0
9.349285250,1,0,0,0
9.350922250,0,0,0,0
9.351534250,1,0,0,0
9.352046417,0,0,0,0
9.352653333,1,0,0,0
9.354294083,0,0,0,0
9.354902250,1,0,0,0
9.356541750,0,0,0,0
9.357151250,1,0,0,0
9.358789417,0,0,0,0
9.359400083,1,0,0,0
9.361037083,0,0,0,0
9.361649083,1,0,0,0
9.363285417,0,0,0,0
9.363898083,1,0,0,0
9.403691583,0,0,0,0
9.412698583,1,0,0,0
9.414916417,0,0,0,0
9.415523250,1,0,0,0
9.511403667,0,0,0,0
9.520416417,1,0,0,0
9.522628500,0,0,0,0
9.523241167,1,0,0,0
9.619115667,0,0,0,0
9.628122667,1,0,0,0
9.630340500,0,0,0,0
9.630947500,1,0,0,0
10.621140667,0,0,0,0
10.630144083,1,0,0,0
10.634608583,0,0,0,0
10.635217750,1,0,0,0
10.635732500,0,0,0,0
10.636336750,1,0,0,0
10.636856667,0,0,0,0
10.637466750,1,0,0,0
10.637980833,0,0,0,0
10.638585833,1,0,0,0
10.639105000,0,0,0,0
10.639715750,1,0,0,0
10.640229167,0,0,0,0
10.640834750,1,0,0,0
10.641353333,0,0,0,0
10.641964667,1,0,0,0
10.643601000,0,0,0,0
10.644213667,1,0,0,0
10.644725833,0,0,0,0
10.645332667,1,0,0,0
10.646973500,0,0,0,0
10.647581583,1,0,0,0
10.649221167,0,0,0,0
10.649830583,1,0,0,0
10.651468833,0,0,0,0
10.652079667,1,0,0,0
10.653716500,0,0,0,0
10.654328667,1,0,0,0
10.655964167,0,0,0,0
10.656577667,1,0,0,0
10.658211833,0,0,0,0
10.658815833,1,0,0,0
10.659336000,0,0,0,0
10.659945750,1,0,0,0
10.661584000,0,0,0,0
10.662194750,1,0,0,0
10.663831667,0,0,0,0
10.664443583,1,0,0,0
10.664955833,0,0,0,0
10.665562583,1,0,0,0
10.667203500,0,0,0,0
10.667811583,1,0,0,0
10.668327667,0,0,0,0
10.668930750,1,0,0,0
